Year,Entity,Pred_Prevalence_Schizophrenia,Pred_Prevalence_Depression,Pred_Prevalence_Anxiety,Pred_Prevalence_Bipolar,Pred_Prevalence_Eating
2020-01-01,Afghanistan,0.21756645979456343,4.951329400479661,4.875601039304672,0.6996463152846889,0.11688440892006799
2021-01-01,Afghanistan,0.21737962256259516,4.954611862341278,4.897579888628193,0.6996467356822538,0.11641315718879804
2022-01-01,Afghanistan,0.21721412634465276,4.9563605809822,4.917243699553131,0.6996468387171108,0.11599379839177418
2023-01-01,Afghanistan,0.21706753351695612,4.957292203957281,4.9348363157269866,0.6996468639698301,0.11562061822293453
2024-01-01,Afghanistan,0.21693768488718518,4.957788522431499,4.950575896677091,0.6996468701589962,0.11528853161975958
2025-01-01,Afghanistan,0.21682266789134494,4.958052934145721,4.964657623126228,0.6996468716758932,0.11499301347271766
2026-01-01,Afghanistan,0.21672078842326392,4.958193798446064,4.977256117356597,0.6996468720476682,0.1147300369647943
2027-01-01,Afghanistan,0.21663054588179737,4.958268843347797,4.9885276086361605,0.6996468721387862,0.11449601870090148
2028-01-01,Afghanistan,0.21655061106820112,4.958308823223908,4.99861187056002,0.6996468721611182,0.11428776987948444
2029-01-01,Afghanistan,0.2164798066081224,4.958330122345593,5.00763395433108,0.6996468721665915,0.11410245284097566
2030-01-01,Afghanistan,0.21641708960983982,4.958341469368863,5.015705739473773,0.699646872167933,0.11393754240101263
2031-01-01,Afghanistan,0.21636153630332203,4.958347514450861,5.022927321210665,0.6996468721682617,0.11379079144153455
2032-01-01,Afghanistan,0.2163123284338517,4.95835073494451,5.029388251706297,0.6996468721683423,0.11366020029089202
2033-01-01,Afghanistan,0.21626874120980352,4.958352450649829,5.0351686505704585,0.6996468721683621,0.11354398947573421
2034-01-01,Afghanistan,0.21623013262705698,4.958353364685087,5.040340198391844,0.699646872168367,0.11344057547338263
2035-01-01,Afghanistan,0.21619593401280138,4.958353851633774,5.04496702562252,0.6996468721683682,0.1133485491342863
2036-01-01,Afghanistan,0.21616564164945093,4.9583541110537706,5.049106507835949,0.6996468721683685,0.11326665648053635
2037-01-01,Afghanistan,0.21613880935529722,4.958354249258753,5.052809977220259,0.6996468721683686,0.11319378161879501
2038-01-01,Afghanistan,0.21611504191261796,4.958354322886914,5.056123359129723,0.6996468721683686,0.11312893153480535
2039-01-01,Afghanistan,0.21609398924644355,4.9583543621120265,5.059087741588092,0.6996468721683686,0.1130712225622876
2040-01-01,Afghanistan,0.21607534126823938,4.958354383009051,5.0617398848059905,0.6996468721683686,0.11301986834184302
2020-01-01,Africa (IHME GBD),0.22143447488563298,4.466701967531463,3.694784264379397,0.6014121000997884,0.12268728345535876
2021-01-01,Africa (IHME GBD),0.2216390444735531,4.470857822494059,3.6909445428512986,0.6014121001419117,0.12280039085565718
2022-01-01,Africa (IHME GBD),0.2218244332590944,4.474557747644291,3.6878862001887533,0.6014121001419117,0.12290624342601911
2023-01-01,Africa (IHME GBD),0.22199243966783735,4.477851762050601,3.6854502267013283,0.6014121001419117,0.12300530649901578
2024-01-01,Africa (IHME GBD),0.2221446935018343,4.480784397298179,3.683509970985672,0.6014121001419117,0.12309801556028836
